,name,street,city,state,zip,phone,reviews,rating,priceRange,Latitude,Longitude,County,Country,twitter_sentiment
15,Pineapple & Pearls,715 8th St SE,Washington,DC,20003,(202) 595-7375,92.0,4.5,40.0,38.8807,-76.99533100000002,District of Columbia,US,[0.0]
16,Lot 38 Espresso Bar,1001 2nd St SE,Washington,DC,20003,(202) 758-0677,144.0,4.5,10.0,38.877729,-77.003692,District of Columbia,US,[0.0]
17,Brick Lane,1636 17th St NW,Washington,DC,20009,(202) 525-5309,96.0,4.0,20.0,38.912333,-77.03879599999998,District of Columbia,US,[0.0]
18,Nerds & Nibblers,1451 L St NW,Washington,DC,20005,(202) 331-3213,59.0,3.5,10.0,38.903952,-77.033951,District of Columbia,US,[1.5909090909090908]
19,Mulebone,2121 14th St NW,Washington,DC,20009,(202) 332-9672,177.0,4.0,20.0,38.918385,-77.03161899999998,District of Columbia,US,[0.0]
20,Birch & Barley,1337 14th St NW,Washington,DC,20005,(202) 567-2576,915.0,4.0,30.0,38.908482,-77.031607,District of Columbia,US,[1.5909090909090908]
21,Busboys and Poets,1025 5th St NW,Washington,DC,20001,(202) 789-2227,993.0,4.0,20.0,38.902815,-77.018704,District of Columbia,US,[0.0]
22,Sunrise Cafe,1102 17th St NW,Washington,DC,20036,(202) 463-0032,103.0,4.0,10.0,38.904107,-77.038752,District of Columbia,US,[1.5909090909090908]
23,Red Derby,3718 14th St NW,Washington,DC,20010,(202) 291-5000,463.0,4.0,10.0,38.937728,-77.03309,District of Columbia,US,[0.0]
24,Bread Furst,4434 Connecticut Ave,Washington,DC,20008,(202) 765-1200,240.0,3.5,20.0,38.947472,-77.065926,District of Columbia,US,[0.0]
25,Creperie,1111 New York Ave NW,Washington,DC,20005,,32.0,4.0,10.0,38.900979,-77.027837,District of Columbia,US,[1.5909090909090908]
26,Beef N Bread,750 6th St NW,Washington,DC,20001,(202) 393-0406,196.0,4.5,10.0,38.899663,-77.020127,District of Columbia,US,[0.0]
27,USDA Cafeteria,1400 Independence Ave S W,Washington,DC,20250,(202) 720-6799,9.0,5.0,10.0,38.886717,-77.030035,District of Columbia,US,[0.0]
28,Carving Room,300 Massachusetts Ave NW,Washington,DC,20001,(202) 525-2116,241.0,4.0,20.0,38.899642,-77.01566600000002,District of Columbia,US,[0.0]
29,Beuchert’s Saloon,623 Pennsylvania Ave SE,Washington,DC,20003,(202) 733-1384,236.0,4.0,20.0,38.88487,-76.997644,District of Columbia,US,[0.0]
30,Bagels Etc.,2122 P Street NW,Washington,DC,20037,(202) 466-7171,251.0,4.0,10.0,38.90940300000001,-77.047626,District of Columbia,US,[0.0]
31,Uni Bistro,403 H St NE,Washington,DC,20002,(202) 675-2011,33.0,4.5,20.0,38.900055,-77.000557,District of Columbia,US,[0.0]
32,Murry & Paul’s Restaurant,3513 12th St NE,Washington,DC,20017,(202) 529-4078,60.0,4.0,10.0,38.932967,-76.99078,District of Columbia,US,[0.0]
33,Sally’s Middle Name,1320 H St NE,Washington,DC,20002,(202) 750-6529,100.0,4.0,30.0,38.90035,-76.98786700000002,District of Columbia,US,[0.0]
34,Bistro Bohem,600 Florida Ave NW,Washington,DC,20001,(202) 735-5895,263.0,4.0,20.0,38.915379,-77.020199,District of Columbia,US,[0.0]
35,Cafe Carvy,1020 19th St NW,Washington,DC,20036,(202) 223-1981,71.0,4.0,10.0,38.903176,-77.043808,District of Columbia,US,[1.5909090909090908]
36,Pleasant Pops,731 15th St NW,Washington,DC,20005,(202) 347-0938,38.0,4.0,10.0,38.899776,-77.03336800000002,District of Columbia,US,[1.5909090909090908]
37,Tony’s Place,622 Kennedy St NW,Washington,DC,20011,(202) 829-0721,32.0,4.0,10.0,38.956211,-77.021902,District of Columbia,US,[0.0]
38,Jimmy T’s Place,501 E Capitol St SE,Washington,DC,20003,,151.0,4.0,10.0,38.889506,-76.999307,District of Columbia,US,[0.0]
39,Universal Doughnuts,2012 T St NW,Washington,DC,20009,(202) 483-0600,27.0,4.0,10.0,38.9156,-77.045027,District of Columbia,US,[0.0]
40,The Riggsby,1731 New Hampshire Ave NW,Washington,DC,20009,(202) 787-1500,143.0,4.0,30.0,38.91334000000001,-77.03947099999998,District of Columbia,US,[0.0]
41,Bethesda Bagels,1718 Connecticut Ave NW,Washington,DC,20009,(202) 299-9399,295.0,4.0,10.0,38.913191,-77.045897,District of Columbia,US,[0.0]
42,Cafe Kimchi,751 8th St SE,Washington,DC,20003,(202) 847-3269,114.0,4.0,10.0,38.879568,-76.995227,District of Columbia,US,[0.0]
43,Pete’s Diner,212 2nd St SE,Washington,DC,20003,(202) 544-7335,204.0,3.5,10.0,38.886989,-77.003312,District of Columbia,US,[0.0]
44,Belga Cafe,514 8th St SE,Washington,DC,20003,(202) 544-0100,877.0,3.5,20.0,38.882204,-76.99460400000002,District of Columbia,US,[0.0]
45,Firefly,1310 New Hampshire Ave NW,Washington,DC,20036,(202) 861-1310,855.0,3.5,20.0,38.907633,-77.045754,District of Columbia,US,[1.5909090909090908]
46,The Lafayette,800 16th St NW,Washington,DC,20006,(202) 638-2570,57.0,4.0,40.0,38.900525,-77.036957,District of Columbia,US,[1.5909090909090908]
47,Commissary,1443 P St NW,Washington,DC,20005,(202) 299-0018,803.0,3.5,20.0,38.909812,-77.033495,District of Columbia,US,[1.5909090909090908]
48,Cafe Deluxe,3228 Wisconsin Ave Nw,Washington,DC,20016,(202) 686-2233,272.0,3.5,20.0,38.933136,-77.07288,District of Columbia,US,[0.0]
49,Level One,1639 R St NW,Washington,DC,20009,(202) 745-0025,310.0,3.5,20.0,38.912798,-77.038191,District of Columbia,US,[0.0]
50,Uptowner Cafe,2400 M St NW,Washington,DC,20037,(202) 775-0520,85.0,3.5,10.0,38.905065,-77.05170799999998,District of Columbia,US,[0.0]
51,BlackSalt,4883 MacArthur Blvd NW,Washington,DC,20007,(202) 342-9101,748.0,4.0,30.0,38.917788,-77.096609,District of Columbia,US,[0.0]
52,The Coupe,3415 11th St NW,Washington,DC,20010,(202) 290-3342,676.0,3.5,20.0,38.932442,-77.02821899999998,District of Columbia,US,[0.0]
53,Martin’s Tavern,1264 Wisconsin Ave NW,Washington,DC,20007,(202) 333-7370,393.0,3.5,20.0,38.906742,-77.06321899999998,District of Columbia,US,[0.0]
54,Pansaari,1603 17th St NW,Washington,DC,20009,(202) 847-0115,105.0,4.0,20.0,38.911387,-77.038236,District of Columbia,US,[0.0]
55,"Red, White and Basil",1781 Florida Ave NW,Washington,DC,20009,(202) 839-3068,109.0,3.5,20.0,38.91748,-77.040894,District of Columbia,US,[0.0]
56,Galley Cafe,1625 Massachusetts Ave NW,Washington,DC,20036,(202) 939-0263,18.0,4.5,10.0,38.908135,-77.03800600000002,District of Columbia,US,[1.5909090909090908]
57,Coppi’s Organic Restaurant,3321 Connecticut Ave NW,Washington,DC,20008,(202) 966-0770,74.0,4.0,20.0,38.934166,-77.05723499999998,District of Columbia,US,[0.0]
58,Osman & Joe’s Steak ‘n Egg Kitchen,4700 Wisconsin Ave NW,Washington,DC,20016,(202) 686-1201,303.0,3.5,10.0,38.951206,-77.081124,District of Columbia,US,[0.0]
59,Kramerbooks & Afterwords Cafe,1517 Connecticut Ave NW,Washington,DC,20036,(202) 387-1462,1476.0,3.5,20.0,38.910818,-77.043816,District of Columbia,US,[0.0]
60,Scion Restaurant,2100 P St Nw,Washington,DC,20037,(202) 833-8899,572.0,3.5,20.0,38.909498,-77.046988,District of Columbia,US,[0.0]
61,Pret A Manger,"1825 Eye Street, NW",Washington,DC,20006,(202) 403-2992,158.0,4.0,10.0,38.897131,-77.041248,District of Columbia,US,[1.5909090909090908]
62,NuVegan Café,2928 Georgia Ave NW,Washington,DC,20001,(202) 232-1700,587.0,4.5,20.0,38.927817,-77.02343499999998,District of Columbia,US,[0.0]
63,Bread & Chocolate,2301 M St NW,Washington,DC,20037,(202) 833-8360,205.0,3.0,20.0,38.905475,-77.050352,District of Columbia,US,[0.0]
64,Slim’s Diner,4201 Georgia Ave NW,Washington,DC,20011,(202) 783-0699,138.0,3.0,20.0,38.942039,-77.025317,District of Columbia,US,[0.0]
65,Firehook Bakery,215 Pennsylvania Ave SE,Washington,DC,20003,(888) 580-0745,75.0,3.5,10.0,38.887089,-77.00286,District of Columbia,US,[0.0]
66,Station 4,1101 4th St SW,Washington,DC,20024,(202) 488-0987,491.0,3.0,20.0,38.877602,-77.01815,District of Columbia,US,[0.0]
67,Policy,1904 14th St NW,Washington,DC,20009,(202) 387-7654,589.0,3.5,20.0,38.915769,-77.032189,District of Columbia,US,[0.0]
68,Busboys and Poets,625 Monroe St NE,Washington,DC,20017,(202) 636-7230,113.0,3.5,20.0,38.932057,-76.99704100000002,District of Columbia,US,[0.0]
69,Et Voila,5120 MacArthur Blvd NW,Washington,DC,20016,(202) 237-2300,175.0,4.0,30.0,38.925435,-77.10231800000003,District of Columbia,US,[0.0]
70,Café du Parc,1401 Pennsylvania Ave NW,Washington,DC,20004,(202) 942-7000,244.0,3.5,30.0,38.896492,-77.03234499999998,District of Columbia,US,[1.5909090909090908]
71,Kapnos,2201 14th St NW,Washington,DC,20009,(202) 234-5000,546.0,4.0,30.0,38.919337,-77.031501,District of Columbia,US,[0.0]
72,Ardeo + Bardeo,3311 Connecticut Ave NW,Washington,DC,20008,(202) 244-6750,395.0,3.5,30.0,38.933915,-77.057091,District of Columbia,US,[0.0]
73,Luna Grill & Diner,1301 Connecticut Ave NW,Washington,DC,20036,(202) 835-2280,429.0,3.5,20.0,38.907611,-77.041963,District of Columbia,US,[1.5909090909090908]
74,Range,5335 Wisconsin Ave NW,Washington,DC,20015,(202) 803-8020,616.0,3.5,30.0,38.960125,-77.08484399999998,District of Columbia,US,[0.0]
75,Crepe Lena,40 Massachusetts Ave NE,Washington,DC,20002,(571) 331-3926,38.0,3.5,10.0,38.897611,-77.007153,District of Columbia,US,[0.0]
76,Teaism Penn Quarter,400 8th St NW,Washington,DC,20004,(202) 638-6010,625.0,3.5,20.0,38.89503,-77.02323299999998,District of Columbia,US,[0.0]
77,Bullfrog Bagels,1341 H St NE,Washington,DC,20002,(202) 494-5615,119.0,3.5,10.0,38.900049,-76.987264,District of Columbia,US,[0.0]
78,Le Pain Quotidien - Georgetown,2815 M St NW,Washington,DC,20007,(202) 315-5420,299.0,3.5,20.0,38.90547,-77.05756,District of Columbia,US,[0.0]
79,Cafe Lombardy,2019 Pennsylvania Ave NW,Washington,DC,20006,(202) 828-2600,15.0,4.0,20.0,38.90153,-77.045918,District of Columbia,US,[1.5909090909090908]
80,Beacon Bar and Grill,1615 Rhode Island Ave NW,Washington,DC,20036,(202) 753-4378,589.0,3.5,20.0,38.907049,-77.03805,District of Columbia,US,[1.5909090909090908]
81,Greek Deli & Catering,1120 19th St NW,Washington,DC,20036,(202) 296-2111,446.0,4.5,10.0,38.904548,-77.04385699999997,District of Columbia,US,[1.5909090909090908]
82,Boxcar Tavern,224 7th St SE,Washington,DC,20003,(202) 544-0518,157.0,3.5,20.0,38.88655,-76.995906,District of Columbia,US,[0.0]
83,Pret A Manger,1432 K Street NW,Washington,DC,20533,(202) 559-8000,59.0,4.0,10.0,38.902281,-77.03339100000002,District of Columbia,US,[1.5909090909090908]
84,Busboys and Poets,235 Carroll St NW,Washington,DC,20012,(202) 726-0856,101.0,3.5,20.0,38.975124,-77.015375,District of Columbia,US,[0.0]
85,Graffiato,707 6th St NW,Washington,DC,20001,(202) 289-3600,1310.0,3.5,30.0,38.898676,-77.01958,District of Columbia,US,[0.0]
86,Pimento Grill,4405 Bowen Rd SE,Washington,DC,20019,(202) 582-6595,138.0,4.0,20.0,38.87331,-76.935316,District of Columbia,US,[0.0]
87,Creme Restaurant and Bar,2436 14th St NW,Washington,DC,20009,(202) 234-1884,95.0,3.5,20.0,38.92145,-77.032169,District of Columbia,US,[0.0]
88,Bidwell,1309 5th St NE,Washington,DC,20002,(202) 547-0172,169.0,3.5,20.0,38.908716,-76.99765,District of Columbia,US,[0.0]
89,First Cup Cafe,900 M Street NW,Washington,DC,20001,(202) 289-4601,113.0,3.0,10.0,38.905429,-77.024153,District of Columbia,US,[0.0]
90,L’Hommage Bistro Francais,450 K St NW,Washington,DC,20001,(202) 791-0916,105.0,3.5,20.0,38.902274,-77.017966,District of Columbia,US,[0.0]
91,Madhatter,1319 Connecticut Ave NW,Washington,DC,20036,(202) 833-1495,751.0,3.0,20.0,38.907904,-77.041978,District of Columbia,US,[1.5909090909090908]
92,Veloce by Pizzeria Paradiso,1828 L St NW,Washington,DC,20036,(202) 290-1910,41.0,4.0,10.0,38.903512,-77.04294,District of Columbia,US,[1.5909090909090908]
93,Pret A Manger,50 Massachusetts Avenue,Washington,DC,20002,(202) 289-0186,67.0,4.0,10.0,38.897538,-77.006179,District of Columbia,US,[0.0]
94,Chupacabra,822 H St NE,Washington,DC,20002,(202) 505-4628,130.0,3.5,20.0,38.900353,-76.99475,District of Columbia,US,[0.0]
95,Cafe Berlin,322 Massachusetts Ave NE,Washington,DC,20002,(202) 543-7656,281.0,3.5,20.0,38.894448,-77.00093299999997,District of Columbia,US,[0.0]
96,Tony’s Place,1400 Good Hope Rd SE,Washington,DC,20050,(202) 678-6633,7.0,4.5,10.0,38.866944,-76.984937,District of Columbia,US,[0.0]
97,Bar Charley,1825 18th St NW,Washington,DC,20009,(202) 627-2183,194.0,3.5,20.0,38.915033,-77.041434,District of Columbia,US,[0.0]
98,Bourbon Coffee,621 Pennsylvania Ave SE,Washington,DC,20003,(202) 836-4799,42.0,3.5,10.0,38.884898,-76.99768,District of Columbia,US,[0.0]
99,Abe’s Cafe,733 13th St NW,Washington,DC,20005,(202) 791-0307,16.0,3.5,20.0,38.89978,-76.98808299999997,District of Columbia,US,[0.0]
100,Pret A Manger,1828 L St NW,Washington,DC,20006,(202) 689-1982,44.0,4.5,10.0,38.903512,-77.04294,District of Columbia,US,[1.5909090909090908]
101,Pearl Dive Oyster Palace,1612 14th St NW,Washington,DC,20009,(202) 319-1612,620.0,4.0,20.0,38.911625,-77.032287,District of Columbia,US,[0.0]
102,Malmaison,3401 Water St NW,Washington,DC,20007,(202) 817-3340,161.0,3.0,20.0,38.904139,-77.06811,District of Columbia,US,[0.0]
103,Le Pain Quotidien - Dupont Circle,2000 P St NW,Washington,DC,20036,(202) 459-9176,287.0,3.0,20.0,38.909465,-77.04514,District of Columbia,US,[0.0]
104,Mangialardo,1317 Pennsylvania Ave SE,Washington,DC,20003,(202) 543-6212,198.0,4.5,10.0,38.880885,-76.987724,District of Columbia,US,[0.0]
105,The Grilled Oyster Company,3701 Newark St NW,Washington,DC,20016,(202) 362-1719,39.0,4.0,30.0,38.934486,-77.07250400000002,District of Columbia,US,[0.0]
106,Piassa Ethiocuisine & Cafe,1336 9th St NW,Washington,DC,20001,(202) 765-1288,17.0,4.0,20.0,38.908426,-77.02419499999998,District of Columbia,US,[0.0]
107,Sip of Seattle,1120 G St NW,Washington,DC,20001,(202) 393-5058,57.0,4.0,10.0,38.881459,-76.99076099999998,District of Columbia,US,[0.0]
108,Cafe Kindred,450 N Washington St,Falls Church,VA,22046,(571) 327-2215,159.0,4.5,10.0,38.88512,-77.16504499999998,Falls Church city,US,[0.0]
109,J Paul’s,3218 M St NW,Washington,DC,20007,(202) 333-3450,383.0,3.0,20.0,38.904972,-77.063503,District of Columbia,US,[0.0]
110,G Street Food,1030 15th St NW,Washington,DC,20005,(202) 842-8484,88.0,3.5,10.0,38.903412,-77.03496700000002,District of Columbia,US,[1.5909090909090908]
111,RedRocks Columbia Heights,1036 Park Rd NW,Washington,DC,20010,(202) 506-1402,515.0,3.5,20.0,38.931674,-77.028031,District of Columbia,US,[0.0]
112,Le Pain Quotidien - Penn Quarter,975 F St NW,Washington,DC,20004,(202) 499-4123,159.0,3.0,20.0,38.897634,-77.025568,District of Columbia,US,[0.0]
113,Le Pain Quotidien - 17th Street,800 17th St NW,Washington,DC,20006,(202) 688-0341,94.0,3.5,20.0,38.90048,-77.039742,District of Columbia,US,[1.5909090909090908]
114,Cosmo Cafe,600 Maryland Ave SW,Washington,DC,20024,(202) 554-4040,47.0,2.5,20.0,38.885962,-77.021061,District of Columbia,US,[0.0]
115,La Jambe,1550 7th St NW,Washington,DC,20001,(202) 627-2988,35.0,4.5,20.0,38.910356,-77.022189,District of Columbia,US,[0.0]
116,Flying Fish Coffee & Tea,3064 Mt Pleasant St NW,Washington,DC,20009,(202) 299-0141,136.0,3.5,10.0,38.919261,-77.039798,District of Columbia,US,[0.0]
117,Bunna Ethiopian Cafe,1400 L St NW,Washington,DC,20005,(202) 827-4952,27.0,4.5,20.0,38.903447,-77.032391,District of Columbia,US,[1.5909090909090908]
118,Circle Bistro,1 Washington Cir NW,Washington,DC,20037,(202) 293-5390,98.0,3.5,30.0,38.903371,-77.049726,District of Columbia,US,[1.5909090909090908]
119,Pret A Manger,1155 F St,Washington,DC,20004,(202) 464-2791,117.0,3.5,10.0,38.897574,-77.02763399999998,District of Columbia,US,[1.5909090909090908]
120,Bruegger’s Bagels,"505 9th Street, NW",Washington,DC,20004,(202) 393-1663,88.0,3.5,10.0,38.896519,-77.023713,District of Columbia,US,[0.0]
121,Logan Tavern,1423 P St NW,Washington,DC,20005,(202) 332-3710,587.0,3.5,20.0,38.909886,-77.032887,District of Columbia,US,[1.5909090909090908]
122,Stomping Ground,2309 Mount Vernon Ave,Alexandria,VA,22301,(703) 364-8912,201.0,4.0,20.0,38.826552,-77.05856,Alexandria city,US,[0.0]
123,Casey’s Coffee,508 23rd St NW,Washington,DC,20037,(202) 223-4762,36.0,2.5,10.0,38.896517,-77.051038,District of Columbia,US,[0.0]
124,Bob & Edith’s Diner,539 S 23rd St,Arlington,VA,22202,(703) 920-2700,218.0,4.0,10.0,38.853518,-77.054461,Arlington County,US,[0.0]
125,Woodley Cafe,2619 Connecticut Ave NW,Washington,DC,20008,(202) 332-5773,245.0,2.5,20.0,38.924157,-77.05139,District of Columbia,US,[0.0]
126,New World Cafe,720 I St NW,Washington,DC,20001,(202) 842-0045,14.0,3.0,10.0,38.900617,-77.022269,District of Columbia,US,[0.0]
127,Tupelo Honey Cafe,1616 N Troy St,Arlington,VA,22201,(703) 253-8140,535.0,3.5,20.0,38.889515,-77.082786,Arlington County,US,[0.0]
128,Kafe Leopold,3315 Cady's Alley NW,Washington,DC,20007,(202) 965-6005,999.0,3.5,20.0,38.90482,-77.06666899999998,District of Columbia,US,[0.0]
129,Fenton Cafe,8311 Fenton St,Silver Spring,MD,20910,(301) 326-1841,199.0,4.0,10.0,38.99352,-77.02410400000002,Montgomery County,US,[0.0]
130,Fenton Cafe,8311 Fenton St,Silver Spring,MD,20910,(301) 326-1841,199.0,4.0,10.0,38.99352,-77.02410400000002,Montgomery County,US,[0.0]
131,Cafe Cozy Corner,1117 10th St NW,Washington,DC,20001,(202) 842-3040,58.0,3.5,10.0,38.90478,-77.025723,District of Columbia,US,[1.5909090909090908]
132,Twisted Horn,819 Upshur St NW,Washington,DC,20011,(202) 290-1808,19.0,4.0,20.0,38.942135,-77.02415500000002,District of Columbia,US,[0.0]
133,Rumba Cafe,2443 18th St NW,Washington,DC,20009,(202) 588-5501,181.0,3.5,20.0,38.921655,-77.042037,District of Columbia,US,[0.0]
134,Carvings,2021 F St NW,Washington,DC,20006,(202) 994-8844,41.0,3.0,10.0,38.897576,-77.045547,District of Columbia,US,[1.5909090909090908]
135,Smoked & Stacked,1239 9th St NW,Washington,DC,20001,(202) 465-4822,38.0,3.5,20.0,38.906867,-77.023726,District of Columbia,US,[0.0]
136,Bruegger’s Bagels,2334 Wisconsin Ave. NW,Washington,DC,20007,(202) 338-1414,55.0,3.0,10.0,38.920797,-77.072136,District of Columbia,US,[0.0]
137,Kaldi’s Social House,918 Silver Spring Ave,Silver Spring,MD,20910,(301) 557-9991,309.0,4.0,10.0,38.991201,-77.025711,Montgomery County,US,[0.0]
138,Pumpernickel’s Bagelry & Delicatessen,5504 Connecticut Ave NW,Washington,DC,20015,(202) 244-9505,125.0,3.0,10.0,38.963346,-77.07502099999998,District of Columbia,US,[0.0]
139,Bob & Edith’s Diner,2310 Columbia Pike,Arlington,VA,22204,(703) 920-6103,561.0,4.0,10.0,38.863627,-77.082263,Arlington County,US,[0.0]
140,Country Style Chicken and Waffles,4817 Saint Barnabas Rd,Temple Hills,MD,20748,(240) 532-7969,91.0,4.0,10.0,38.823735,-76.951702,Prince George's County,US,[0.0]
141,Au Bon Pain,1401 I St NW,Washington,DC,20005,(202) 842-2467,44.0,3.5,10.0,38.901666,-77.032422,District of Columbia,US,[1.5909090909090908]
142,Canal Café,1055 Thomas Jefferson St,Washington,DC,20007,(202) 333-3191,6.0,3.0,,38.903761,-77.059762,District of Columbia,US,[0.0]
143,Open City,2331 Calvert St NW,Washington,DC,20008,(202) 332-2331,1280.0,3.5,20.0,38.923717,-77.052366,District of Columbia,US,[0.0]
144,Java House,1645 Q St NW,Washington,DC,20009,(202) 387-6622,121.0,3.0,10.0,38.911294,-77.038179,District of Columbia,US,[0.0]
145,Dirty Habit,700 F St NW,Washington,DC,20004,(202) 783-6060,22.0,3.5,30.0,38.896988,-77.022463,District of Columbia,US,[0.0]
146,Busboys and Poets,5331 Baltimore Ave,Hyattsville,MD,20781,(301) 779-2787,601.0,4.0,20.0,38.954633,-76.939635,Prince George's County,US,[0.0]
147,Capitol Grounds Coffee,2100 Pennsylvania Ave NW,Washington,DC,20037,(202) 293-2057,28.0,3.0,10.0,38.901035,-77.04720999999998,District of Columbia,US,[1.5909090909090908]
148,Hilton Honors Capital Hilton Executive Lounge,1001 16th Street NW,Washington,DC,20036,(202) 393-1000,2.0,5.0,10.0,38.903122,-77.035933,District of Columbia,US,[1.5909090909090908]
149,Ted’s Bulletin,1818 14th St NW,Washington,DC,20009,(202) 265-8337,889.0,4.0,20.0,38.914742,-77.032279,District of Columbia,US,[0.0]
150,Republic Kolache,410 7th St NW,Washington,DC,20001,(202) 888-2813,12.0,4.0,10.0,38.895166,-77.022204,District of Columbia,US,[0.0]
151,Carlyle,4000 Campbell Ave,Arlington,VA,22206,(703) 931-0777,984.0,4.0,20.0,38.84061,-77.087028,Arlington County,US,[0.0]
152,Buffalo & Bergen,1309 5th St NE,Washington,DC,20002,(202) 543-2549,121.0,3.0,20.0,38.908716,-76.99765,District of Columbia,US,[0.0]
153,Le Grenier,502 H St NE,Washington,DC,20002,(202) 544-4999,356.0,4.0,20.0,38.900353,-76.99949000000002,District of Columbia,US,[0.0]
154,West Wing Cafe,5300 Wisconsin Ave NW,Washington,DC,20015,(202) 659-2233,3.0,3.5,,38.959417,-77.085617,District of Columbia,US,[0.0]
155,DeCarlo’s Restaurant,4822 Yuma St NW,Washington,DC,20016,(202) 363-4220,38.0,3.5,20.0,38.946112,-77.095431,District of Columbia,US,[0.0]
156,Corner Bakery Cafe,777 6th St NW,Washington,DC,20001,(202) 697-5250,85.0,3.0,10.0,38.899488,-77.019643,District of Columbia,US,[0.0]
157,The Class Deli,6415 Chillum Pl NW,Washington,DC,20012,(202) 882-1850,4.0,4.0,,38.967985,-77.012258,District of Columbia,US,[0.0]
158,Pret A Manger,1701 K Street,Washington,DC,20006,(202) 857-7945,61.0,3.5,10.0,38.897131,-77.041248,District of Columbia,US,[1.5909090909090908]
159,Biscuit Lab Baking Company,3720 14th St NW,Washington,DC,20010,,2.0,3.0,,38.93777,-77.033091,District of Columbia,US,[0.0]
160,Pret A Manger,1399 New York Ave,Washington,DC,20005,(202) 393-0533,22.0,4.0,10.0,38.899895,-77.031593,District of Columbia,US,[1.5909090909090908]
161,Fresh Chop Chop,1560 Wilson Blvd,Arlington,VA,22209,(703) 248-0722,17.0,4.5,10.0,38.894026,-77.07640500000002,Arlington County,US,[0.0]
162,White Corner,4401 Southern Ave,Capitol Heights,MD,20743,(301) 420-2010,15.0,4.5,10.0,38.872941,-76.934882,Prince George's County,US,[0.0]
163,Jaco Juice and Taco Bar,1614 Wisconsin Ave NW,Washington,DC,20007,(202) 505-2216,96.0,4.0,10.0,38.911231,-77.065669,District of Columbia,US,[0.0]
164,Fontaine Caffe & Creperie,119 S Royal St,Alexandria,VA,22314,(703) 535-8151,382.0,4.0,20.0,38.804057,-77.043888,Alexandria city,US,[0.0]
165,Timmy’s Place,3835 Pennsylvania Ave SE,Washington,DC,20020,(202) 621-8483,5.0,2.5,,38.865132,-76.951482,District of Columbia,US,[0.0]
166,Tony’s Place,1401 H St NE,Washington,DC,20002,(202) 396-2482,10.0,4.0,10.0,38.900046,-76.98550300000002,District of Columbia,US,[0.0]
167,Lincoln’s Waffle Shop,504 10th St NW,Washington,DC,20004,(202) 638-4008,872.0,3.5,10.0,38.896486,-77.026224,District of Columbia,US,[0.0]
168,Mike’s Cafe,900 N Stuart St,Arlington,VA,22203,(703) 312-7371,120.0,4.0,10.0,38.880725,-77.112172,Arlington County,US,[0.0]
169,Drafting Table,1529 14th St NW,Washington,DC,20005,(202) 621-7475,216.0,3.0,20.0,38.910633,-77.031617,District of Columbia,US,[0.0]
170,Trio Restaurant,1537 17th St NW,Washington,DC,20036,(202) 232-6305,148.0,3.5,20.0,38.91098,-77.038264,District of Columbia,US,[0.0]
