,Name,StreetAddress,City,State,Zip,Phone,NumberofReviews,Rating,PriceRanges
70,Firehook Bakery,None,Washington, ,20003,(888) 580-0745,75,3.5,$
71,Osman & Joe’s Steak ‘n Egg Kitchen,None,Washington, ,20016,(202) 686-1201,302,3.5,$
72,Ardeo + Bardeo,None,Washington, ,20008,(202) 244-6750,396,3.5,$$$
73,Teaism Penn Quarter,None,Washington, ,20004,(202) 638-6010,626,3.5,$$
74,Cafe Lombardy,None,Washington, ,20006,(202) 828-2600,15,4.0,$$
75,Greek Deli & Catering,None,Washington, ,20036,(202) 296-2111,442,4.5,$
76,Creme Restaurant and Bar,None,Washington, ,20009,(202) 234-1884,95,3.5,$$
77,Pret A Manger,None,Washington, ,20533,(202) 559-8000,59,4.0,$
78,Le Pain Quotidien - Georgetown,None,Washington, ,20007,(202) 315-5420,298,3.5,$$
79,Station 4,None,Washington, ,20024,(202) 488-0987,492,3.0,$$
80,Graffiato,None,Washington, ,20001,(202) 289-3600,1312,3.5,$$$
81,L’Hommage Bistro Francais,None,Washington, ,20001,(202) 791-0916,108,3.5,$$
82,First Cup Cafe,None,Washington, ,20001,(202) 289-4601,114,3.0,$
83,Veloce by Pizzeria Paradiso,None,Washington, ,20036,(202) 290-1910,42,3.5,$
84,Bullfrog Bagels,None,Washington, ,20002,(202) 494-5615,124,3.5,$
85,Madhatter,None,Washington, ,20036,(202) 833-1495,751,3.0,$$
86,Bidwell,None,Washington, ,20002,(202) 547-0172,169,3.5,$$
87,Café du Parc,None,Washington, ,20004,(202) 942-7000,243,3.5,$$$
88,Pret A Manger,None,Washington, ,20002,(202) 289-0186,68,4.0,$
89,Bar Charley,None,Washington, ,20009,(202) 627-2183,195,3.5,$$
90,Boxcar Tavern,None,Washington, ,20003,(202) 544-0518,158,3.5,$$
91,Pearl Dive Oyster Palace,None,Washington, ,20009,(202) 319-1612,623,4.0,$$
92,Abe’s Cafe,None,Washington, ,20005,(202) 791-0307,16,3.5,$$
93,Tony’s Place,None,Washington, ,20050,(202) 678-6633,7,4.5,$
94,Pret A Manger,None,Washington, ,20006,(202) 689-1982,44,4.5,$
95,Le Pain Quotidien - Dupont Circle,None,Washington, ,20036,(202) 459-9176,286,3.0,$$
96,Cafe Berlin,None,Washington, ,20002,(202) 543-7656,283,3.5,$$
97,Et Voila,None,Washington, ,20016,(202) 237-2300,175,4.0,$$$
98,Piassa Ethiocuisine & Cafe,None,Washington, ,20001,(202) 765-1288,17,4.0,$$
99,Bourbon Coffee,None,Washington, ,20003,(202) 836-4799,44,3.5,$
100,Range,None,Washington, ,20015,(202) 803-8020,618,3.5,$$$
101,Busboys and Poets,None,Washington, ,20012,(202) 726-0856,101,3.5,$$
102,Malmaison,None,Washington, ,20007,(202) 817-3340,161,3.0,$$
103,Sip of Seattle,None,Washington, ,20001,(202) 393-5058,57,4.0,$
104,G Street Food,None,Washington, ,20005,(202) 842-8484,87,3.5,$
105,RedRocks Columbia Heights,None,Washington, ,20010,(202) 506-1402,510,3.5,$$
106,Le Pain Quotidien - Penn Quarter,None,Washington, ,20004,(202) 499-4123,160,3.0,$$
107,J Paul’s,None,Washington, ,20007,(202) 333-3450,384,3.0,$$
108,Le Pain Quotidien - 17th Street,None,Washington, ,20006,(202) 688-0341,99,3.5,$$
109,The Grilled Oyster Company,None,Washington, ,20016,(202) 362-1719,39,4.0,$$$
110,La Jambe,None,Washington, ,20001,(202) 627-2988,36,4.5,$$
111,Mangialardo,None,Washington, ,20003,(202) 543-6212,198,4.5,$
112,Cosmo Cafe,None,Washington, ,20024,(202) 554-4040,48,2.5,$$
113,Flying Fish Coffee & Tea,None,Washington, ,20009,(202) 299-0141,137,3.5,$
114,CF Folks Restaurant,None,Washington, ,20036,(202) 293-0162,65,4.0,$$
115,Chupacabra - Temp. CLOSED,None,Washington, ,20002,(202) 505-4628,130,3.5,$$
116,Pret A Manger,None,Washington, ,20004,(202) 464-2791,117,3.5,$
117,Bunna Ethiopian Cafe,None,Washington, ,20005,(202) 827-4952,27,4.5,$$
118,Circle Bistro,None,Washington, ,20037,(202) 293-5390,98,3.5,$$$
119,Pimento Grill,None,Washington, ,20019,(202) 582-6595,138,4.0,$$
120,Bruegger’s Bagels,None,Washington, ,20004,(202) 393-1663,89,3.5,$
121,Logan Tavern,None,Washington, ,20005,(202) 332-3710,589,3.5,$$
122,New World Cafe,None,Washington, ,20001,(202) 842-0045,14,3.0,$
123,Casey’s Coffee,None,Washington, ,20037,(202) 223-4762,36,2.5,$
124,Woodley Cafe,None,Washington, ,20008,(202) 332-5773,244,2.5,$$
125,Rito Loco Restaurant,None,,None,None,(202) 836-4270,79,3.5,$
126,Pupuseria San Miguel,None,Washington, ,20010,(202) 387-5410,30,4.0,$
127,Smoked & Stacked,None,Washington, ,20001,(202) 465-4822,44,3.5,$$
128,Rumba Cafe,None,Washington, ,20009,(202) 588-5501,180,3.5,$$
129,Cafe Cozy Corner,None,Washington, ,20001,(202) 842-3040,56,3.5,$
130,Kafe Leopold,None,Washington, ,20007,(202) 965-6005,1001,3.5,$$
131,Carvings,None,Washington, ,20006,(202) 994-8844,42,3.0,$
132,Dirty Habit,None,Washington, ,20004,(202) 783-6060,33,4.0,$$$
133,Republic Kolache,None,Washington, ,20001,(202) 888-2813,13,4.0,$
134,Au Bon Pain,None,Washington, ,20005,(202) 842-2467,44,3.5,$
135,Java House,None,Washington, ,20009,(202) 387-6622,122,3.0,$
136,Tupelo Honey Cafe,None,Arlington, ,22201,(703) 253-8140,544,4.0,$$
137,Ted’s Bulletin,None,Washington, ,20009,(202) 265-8337,898,4.0,$$
138,Open City,None,Washington, ,20008,(202) 332-2331,1275,3.5,$$
139,Bruegger’s Bagels,None,Washington, ,20007,(202) 338-1414,55,3.0,$
140,Twisted Horn,None,Washington, ,20011,(202) 290-1808,22,3.5,$$
141,Hilton Honors Capital Hilton Executive Lounge,None,Washington, ,20036,(202) 393-1000,2,5.0,$
142,Canal Café - CLOSED,None,Washington, ,20007,(202) 333-3191,6,3.0,
143,Capitol Grounds Coffee,None,Washington, ,20037,(202) 293-2057,28,3.0,$
144,Corner Bakery Cafe,None,Washington, ,20001,(202) 697-5250,85,3.0,$
145,Buffalo & Bergen,None,Washington, ,20002,(202) 543-2549,122,3.0,$$
146,Pret A Manger,None,Washington, ,20006,(202) 857-7945,62,3.5,$
147,Le Grenier,None,Washington, ,20002,(202) 544-4999,359,4.0,$$
148,Biscuit Lab Baking Company,None,Washington, ,20010,,2,3.0,
149,Pret A Manger,None,Washington, ,20005,(202) 393-0533,22,4.0,$
150,Bob & Edith’s Diner,None,Arlington, ,22202,(703) 920-2700,220,4.0,$
151,Trio Restaurant,None,Washington, ,20036,(202) 232-6305,150,3.5,$$
152,Drafting Table,None,Washington, ,20005,(202) 621-7475,215,3.0,$$
153,Jaco Juice and Taco Bar,None,Washington, ,20007,(202) 505-2216,98,4.0,$
154,Pumpernickel’s Bagelry & Delicatessen,None,Washington, ,20015,(202) 244-9505,130,3.0,$
155,Lincoln’s Waffle Shop,None,Washington, ,20004,(202) 638-4008,872,3.5,$
156,Annie’s Paramount Steak House,None,Washington, ,20009,(202) 232-0395,268,3.5,$$
157,Fresh Chop Chop,None,Arlington, ,22209,(703) 248-0722,17,4.5,$
158,Fenton Cafe,None,Silver Spring, ,20910,(301) 326-1841,202,4.0,$
159,DC Dives,None,Washington, ,20002,(202) 696-8335,1,5.0,$
160,Tony’s Place,None,Washington, ,20002,(202) 396-2482,10,4.0,$
161,The Class Deli,None,Washington, ,20012,(202) 882-1850,4,4.0,
162,Bruegger’s Bagels,None,Washington, ,20037,(202) 223-5220,79,3.0,$
163,Le Pain Quotidien - Mount Vernon Triangle,None,Washington, ,20001,(202) 312-5566,52,3.0,$$
164,Cafe Kindred,None,Falls Church, ,22046,(571) 327-2215,162,4.5,$
165,DeCarlo’s Restaurant,None,Washington, ,20016,(202) 363-4220,38,3.5,$$
166,Bob & Edith’s Diner,None,Arlington, ,22204,(703) 920-6103,561,4.0,$
167,Shake Shack,None,Washington, ,20002,(202) 684-2428,189,3.5,$$
168,West Wing Cafe,None,Washington, ,20015,(202) 659-2233,3,3.5,
169,Kaldi’s Social House,None,Silver Spring, ,20910,(301) 557-9991,313,4.0,$
170,DNV Rooftop Lounge - Temp. CLOSED,None,Washington, ,20005,(202) 379-4366,97,3.5,$$
171,Stomping Ground,None,Alexandria, ,22301,(703) 364-8912,205,4.0,$$
172,Tryst,None,Washington, ,20009,(202) 232-5500,1240,4.0,$$
173,AllSpice Cafe & Catering,None,Arlington, ,22209,(703) 524-4050,55,4.0,$
174,Twins Jazz,None,Washington, ,20009,(202) 234-0072,90,3.0,$$
175,Torrie’s,None,Washington, ,20001,(202) 462-3700,53,3.0,$
176,Le Pain Quotidien,None,Washington, ,20002,(202) 499-6789,73,3.0,$$
177,Bullfrog Bagels,None,Washington, ,20003,(202) 494-5615,13,3.0,$
178,Busboys and Poets,None,Hyattsville, ,20781,(301) 779-2787,607,4.0,$$
179,Peacock Cafe,None,Washington, ,20007,(202) 625-2740,326,3.5,$$
180,The Java Shack,None,Arlington, ,22201,(703) 527-9556,172,4.0,$
181,Café Georgetown,None,Washington, ,20007,(202) 444-3381,1,3.0,
182,The Liberty Tavern,None,Arlington, ,22201,(703) 465-9360,996,4.0,$$
183,Fifteen Squares,None,Washington, ,20001,(202) 898-9000,15,3.0,$$
184,Twist Georgetown,None,Washington, ,20007,(410) 522-4000,126,2.0,$$$
185,AGB,None,Washington, ,20007,(202) 337-0900,3,3.5,
186,Earl’s Sandwiches,None,Arlington, ,22201,(703) 248-0150,307,4.0,$
187,Sweet Leaf,None,Arlington, ,22201,(703) 525-5100,93,4.0,$
188,Aperto,None,Washington, ,20006,(202) 223-3600,8,4.5,$$$
189,Mike’s Cafe,None,Arlington, ,22203,(703) 312-7371,119,4.0,$
190,Carlyle,None,Arlington, ,22206,(703) 931-0777,981,4.0,$$
191,Au Bon Pain,None,Washington, ,20004,(202) 783-9601,18,3.0,$
192,Parkway Deli & Restaurant,None,Silver Spring, ,20910,(301) 587-1427,466,4.0,$$
193,Green Leaf Cafe,None,Arlington, ,22202,(703) 414-3788,15,4.0,$
194,White Corner,None,Capitol Heights, ,20743,(301) 420-2010,15,4.5,$
195,Seasons Restaurant,None,Washington, ,20007,(202) 342-0444,66,4.0,$$$$
196,Waffle Shop,None,Alexandria, ,22305,(703) 836-8851,83,4.0,$
197,Silver Diner,None,Arlington, ,22201,(703) 812-8600,393,3.5,$$
198,Harriet’s Family Restaurant,None,Washington, ,20004,(202) 628-8024,63,2.0,$$
199,Steam Cafe Pizzeria,None,Washington, ,20009,(202) 588-7554,152,3.5,$$
200,Roof Terrace Restaurant,None,Washington, ,20566,(202) 416-8555,143,2.5,$$$
201,Senart’s Oyster & Chop House,None,Washington, ,20003,(202) 544-1168,171,3.5,$$
202,Grillfish DC,None,Washington, ,20036,(202) 331-7310,410,3.5,$$
203,Italian Gourmet Deli,None,Washington, ,20036,(202) 736-9700,32,3.0,$
204,Leo’s Eatery,None,Washington, ,20024,(202) 808-9344,3,4.5,$
205,Pret a Manger,None,Washington, ,20036,,6,4.0,$$
206,The Diner,None,Washington, ,20009,(202) 232-8800,778,3.5,$$
207,Duck Donuts,None,Arlington, ,22207,(571) 297-2298,128,4.5,$
208,Palette 22,None,Arlington, ,22206,(703) 746-9007,255,4.0,$$
209,Busboys and Poets,None,Arlington, ,22206,(703) 379-9757,793,3.5,$$
210,Brown Bag,None,Washington, ,20036,(202) 683-4177,19,2.5,$
211,Country Style Chicken and Waffles,None,Temple Hills, ,20748,(240) 532-7969,93,4.0,$
212,Anthem,None,Washington, ,20001,(202) 824-9386,6,2.5,$$$
213,DC Harvest,None,Washington, ,20002,(202) 629-3296,238,3.5,$$
214,Timmy’s Place,None,Washington, ,20020,(202) 621-8483,5,2.5,
215,SOCCi,None,Arlington, ,22202,,94,3.5,$$
216,Blue Duck Tavern,None,Washington, ,20037,(202) 419-6755,1597,4.0,$$$
217,Twisted Vines Bottleshop & Bistro,None,Arlington, ,22204,(571) 699-0851,260,4.0,$$
218,Market to Market,None,Washington, ,20036,(202) 822-5183,12,3.5,$
219,Le Diplomate,None,Washington, ,20009,(202) 332-3333,1781,4.0,$$$
220,Slipstream,None,Washington, ,20005,(202) 450-2216,309,4.0,$$
221,Ireland’s Four Courts,None,Arlington, ,22201,(703) 525-3600,307,3.5,$$
222,Le Pain Quotidien - Spring Valley,None,Washington, ,20016,(202) 459-9141,59,3.0,$$
223,CIty Bites,None,Washington, ,20006,(202) 289-1820,8,2.0,$
224,E’s Breakfast Nook,None,Washington, ,20001,(202) 545-1212,,,
225,Cassatt’s Kiwi Cafe & Gallery,None,Arlington, ,22207,(703) 527-3330,200,3.5,$$
226,The Original Pancake House,None,Bethesda, ,20814,(301) 986-0285,226,3.5,$$
227,Eggspectation,None,Silver Spring, ,20910,(301) 585-1700,551,3.0,$$
228,Cosi,None,Washington, ,20015,(202) 537-9300,42,3.0,$$
229,Florida Avenue Grill,None,Washington, ,20009,(202) 265-1586,304,3.5,$$
230,Copperwood Tavern,None,Arlington, ,22206,(703) 552-8010,547,3.5,$$
231,Pacifico Cantina,None,Washington, ,20003,(202) 507-8143,356,2.5,$$
232,Café Bonaparte,None,Washington, ,20007,(202) 333-8830,498,3.5,$$
233,Fontaine Caffe & Creperie,None,Alexandria, ,22314,(703) 535-8151,382,4.0,$$
234,Le Pain Quotidien - Capitol Hill,None,Washington, ,20003,(202) 459-9147,236,3.0,$$
235,Legends Chicken & Grill,None,Hyattsville, ,20784,(240) 770-5151,49,4.0,$
236,The Heights,None,Washington, ,20010,(202) 839-3006,591,3.5,$$
237,Keren Restaurant,None,Washington, ,20009,(202) 265-5764,630,4.5,$$
238,Urban Butcher,None,Silver Spring, ,20910,(301) 585-5800,448,3.5,$$$
239,CIRCA at Clarendon,None,Arlington, ,22201,(703) 522-3010,333,3.5,$$
240,Extra Perks Coffee Shop,None,Alexandria, ,22314,(703) 706-5886,227,3.5,$
241,Corner Bakery Cafe,None,Washington, ,20005,(202) 887-0420,31,2.5,$$
242,IHOP,None,Washington, ,20010,(202) 939-0500,153,2.5,$$
243,Woodward Takeout Food,None,Washington, ,20005,(202) 347-5355,86,4.0,$$
244,Corner Bakery Cafe,None,Arlington, ,22201,(703) 236-2818,84,3.0,$
245,Huascaran,None,Alexandria, ,22305,(703) 684-0494,34,4.0,$$
246,CIRCA at Foggy Bottom,None,Washington, ,20037,(202) 506-5589,400,3.5,$$
247,Fresh Kitchen By Robert Irvine,None,Washington, ,None,,1,3.0,
248,Uptown Cafe,None,Arlington, ,22203,(703) 525-3091,14,4.0,$
249,Cosi,None,Washington, ,20001,(202) 824-0730,101,2.5,$
250,Denny’s,None,Washington, ,20002,(202) 758-3637,54,3.5,$$
251,The Hilltop Bar & Restaurant,None,Washington, ,20001,(202) 642-1584,10,4.0,$$$
252,Mrs. K’s Restaurant & Barrel Bar,None,Silver Spring, ,20910,(301) 589-3500,288,3.5,$$$
253,Farmers & Distillers - Coming Soon,None,Washington, ,20001,(202) 464-3001,,,
254,Pancake House,None,Hyattsville, ,20784,(301) 459-1200,60,4.0,$
255,Legal Sea Foods,None,Arlington, ,22202,(571) 551-5988,78,4.0,$$
256,Le Pain Quotidien - Bethesda,None,Bethesda, ,20814,(301) 913-2902,174,3.0,$$
257,The Hamilton,None,Washington, ,20005,(202) 787-1000,1361,3.5,$$
258,Duke’s Grocery,None,Washington, ,20036,(202) 733-5623,574,4.0,$$
259,Evening Star Cafe,None,Alexandria, ,22301,(703) 549-5051,430,3.5,$$
260,Chadwicks,None,Alexandria, ,22314,(703) 836-4442,373,3.5,$$
261,Trinity Deli,None,Washington, ,20017,(202) 667-6886,24,3.5,$
262,Denny’s,None,Washington, ,20019,(202) 399-7526,39,3.5,$
263,Royal Restaurant,None,Alexandria, ,22314,(703) 548-1616,227,3.5,$$
264,The Great Eatery,None,Arlington, ,22209,(703) 527-2110,6,3.5,$
265,Brown Bag,None,Bethesda, ,20814,(301) 654-4600,53,3.5,$
266,Scarlet Oak,None,Washington, ,20003,(202) 780-0140,137,4.0,$$
267,Jack’s Place,None,Alexandria, ,22314,(703) 684-0372,78,3.5,$
268,Cafe Deluxe,None,Bethesda, ,20814,(301) 656-3131,223,3.0,$$
269,Cafe des Artistes,None,Washington, ,20006,(202) 639-1786,6,3.0,$$
270,Metro 29 Diner Restaurant,None,Arlington, ,22207,(703) 528-2464,450,3.0,$$
271,Silo,None,Washington, ,20001,(202) 290-2233,214,3.5,$$
272,Cafe Aurora,None,Alexandria, ,22304,(703) 567-4050,91,4.0,$$
273,Paul Bakery & Café,None,Washington, ,20004,(202) 524-4500,449,3.5,$$
274,Tastee Diner,None,Silver Spring, ,20910,(301) 589-8171,239,3.0,$
275,Jackson 20,None,Alexandria, ,22314,(703) 842-2790,524,3.5,$$
276,Matchbox,None,Arlington, ,22202,(703) 340-3884,54,3.5,$$
277,Zephyr Deli,None,Washington, ,20001,(202) 582-1234,14,3.0,$
278,Le Pain Quotidien,None,Arlington, ,22201,(703) 465-0970,189,3.0,$$
279,Art and Soul,None,Washington, ,20001,(202) 854-0023,712,3.5,$$$
280,Terrace Deli,None,Bethesda, ,20814,,14,3.5,$
281,La Madeleine Country French Cafe,None,Silver Spring, ,20910,(301) 830-5354,70,3.0,$$
282,Crossroads Grill,None,Falls Church, ,22041,(703) 931-5426,13,4.0,$
283,Cafe Dupont,None,Washington, ,20036,(202) 483-6000,146,3.5,$$
284,Bistro Provence,None,Bethesda, ,20814,(301) 656-7373,118,3.5,$$$
285,Sofia’s Pupuseria,None,Arlington, ,22204,(703) 746-0355,13,4.0,$$
286,Cedar,None,Washington, ,20004,(202) 637-0012,632,4.0,$$$
287,Cabinet,None,Washington, ,20001,(202) 582-3402,3,3.0,$$
288,Le Pain Quotidien,None,Alexandria, ,22314,(703) 683-2273,214,3.5,$$
289,Granite City Food & Brewery,None,National Harbor, ,20745,(240) 493-3900,412,3.5,$$
290,Modern Market,None,Bethesda, ,20814,(240) 800-4733,57,4.5,$$
291,Wicked Waffle,None,Bethesda, ,20817,(301) 469-0006,118,4.0,$
292,Dos Gringos Cafe,None,Washington, ,20010,(202) 462-1159,160,3.0,$
293,Juniper Restaurant,None,Washington, ,20037,(202) 457-5020,93,3.5,$$$
294,Crystal City Sports Pub,None,Arlington, ,22202,(571) 305-5229,405,3.5,$$
295,IHOP,None,Washington, ,20032,(202) 563-5890,35,2.5,$
296,Simply Fresh,None,McLean, ,22101,(703) 821-1869,19,3.5,$
297,Silver Diner,None,Greenbelt, ,20770,(301) 220-0028,200,3.5,$$
298,Le Pain Quotidien - Chevy Chase,None,Chevy Chase, ,20815,(202) 499-6785,44,3.0,$$
299,Yellow House,None,Washington, ,20019,(202) 397-2266,7,2.0,
300,Pacci’s Trattoria & Pasticceria,None,Silver Spring, ,20910,(301) 588-0867,138,3.5,$$
301,Patty’s Place,None,Silver Spring, ,20910,(301) 608-0060,17,4.0,$
302,The Kosher Pastry Oven Restaurant,None,Silver Spring, ,20902,(301) 592-8844,53,4.5,$$
303,Warehouse Bar & Grill,None,Alexandria, ,22314,(703) 683-6868,359,3.5,$$
304,5th Floor Cafe,None,Bethesda, ,20815,(301) 657-5500,5,3.0,
305,Louisiana Kitchen and Bayou Bar,None,Bethesda, ,20810,(301) 652-6945,188,3.0,$$
306,Tunnicliff’s Tavern,None,Washington, ,20003,(202) 544-5680,270,3.5,$$
307,The Original Pancake House,None,Falls Church, ,22042,(703) 698-6292,308,3.5,$$
308,Wapa Cafe Boutique,None,Washington, ,20011,(202) 291-2224,82,4.5,$
309,Paul Bakery & Cafe,None,Washington, ,20052,(202) 524-4655,91,3.0,$$
310,Java Nation,None,Kensington, ,20895,(301) 327-6580,96,4.0,$
311,Boundary Stone,None,Washington, ,20001,(202) 621-6635,352,4.0,$$
312,Bayou Bakery,None,Washington, ,20003,(202) 664-5307,121,3.5,$
313,The Fainting Goat,None,Washington, ,20009,,378,4.0,$$
314,Dip N Rolls,None,Silver Spring, ,20910,(202) 400-0633,23,4.5,$
315,Samuel Beckett’s Irish Gastro Pub,None,Arlington, ,22206,(703) 379-0122,236,3.5,$$
316,Mintwood Place,None,Washington, ,20009,(202) 234-6732,497,4.0,$$$
317,Founding Farmers Tysons,None,Tysons, ,22102,(703) 442-8783,1237,3.5,$$
318,Cafe Deluxe,None,Washington, ,20037,(202) 524-7815,141,3.5,$$
319,Einstein Bros Bagels,None,Washington, ,20001,(703) 417-1624,38,2.5,$
320,Einstein Bros Bagels,None,Washington, ,20001,(703) 417-1624,38,2.5,$
321,FireFlies Restaurant,None,Alexandria, ,22301,(703) 548-7200,302,3.0,$$
322,Yves Bistro,None,Alexandria, ,22314,(703) 329-1010,201,3.5,$$
323,Sweetleaf,None,McLean, ,22101,(703) 893-2323,121,3.5,$
324,Eclectic Cafe,None,Washington, ,20019,(202) 397-1095,,,
325,The Grill @ McPherson Square,None,Washington, ,20005,(202) 525-2578,1,3.0,
326,Young’s Carryout,None,Capitol Heights, ,20743,(301) 350-5181,27,4.5,$
327,ChurchKey,None,Washington, ,20005,(202) 567-2576,1179,4.0,$$
328,Jack’s Fresh,None,Washington, ,20005,(202) 783-5667,,,
329,Co Co Sala,None,Washington, ,20004,(202) 347-4265,1356,4.0,$$$
330,Northside Social Coffee & Wine,None,Arlington, ,22201,(703) 465-0145,936,4.0,$$
331,Bentley’s Restaurant,None,Falls Church, ,22042,(703) 532-4100,91,3.0,$$
332,Veranda Cafe,None,Arlington, ,22202,(703) 416-1600,3,4.5,$$
333,VIA 19,None,Washington, ,20036,(202) 429-8889,27,2.5,$$
334,IHOP,None,Alexandria, ,22305,(703) 519-4220,92,3.0,$$
335,Granville Moore’s,None,Washington, ,20002,(202) 399-2546,884,4.0,$$
336,Sixth Engine,None,Washington, ,20001,(202) 506-2455,334,3.5,$$
337,Jardenea,None,Washington, ,20037,(202) 955-6400,97,4.0,$$$
338,Brookland’s Finest,None,Washington, ,20017,(202) 636-0050,284,4.0,$$
339,Uptown Grill,None,Greenbelt, ,20770,(301) 345-3300,10,4.5,$
